TEMPLATE_ASSET_NORMALIZATION_AUDIT_V1
generated_at=2026-08-12T03:39:06
canonical_viewport=1280x720
rule_3840x2087=crop(114,54,3725,2087)->resize(1280x720)
rule_3611x2033=full_viewport->resize(1280x720)
rule_1268x71x=full_viewport->resize(1280x720)
local_crops=logged_as_roi_seed_only_and_excluded_from_frame_scoring
normalized_frame_count=223

C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\009-adaptive_preflight_inventory_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=b2d94b57e6ec40ccc192b40d9749a968a4eab4baafe3e058558c5286fd47db3f
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-184604-015404-cycle\010-final_cycle_result.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=406888dec48905639c135f0c33816c5dcf67590d8350fd2efe9dae860d0040dd
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-192858-595148-cycle\000-inventory_scan_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=8859ca79ae3978fb573cf411020be93ca63d90dab1bc989617058521ddca24d5
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-192858-595148-cycle\001-inventory_go_home_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=8859ca79ae3978fb573cf411020be93ca63d90dab1bc989617058521ddca24d5
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\000-inventory_scan_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=8859ca79ae3978fb573cf411020be93ca63d90dab1bc989617058521ddca24d5
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\001-inventory_go_home_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=8859ca79ae3978fb573cf411020be93ca63d90dab1bc989617058521ddca24d5
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\002-inventory_go_home_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=60f4eeca985189242c81d2292a2a03f24633b5a04211640c7df6f20206415eb0
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\003-inventory_open_assets_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=300e40a44a68b6bef75741aefce7d7c273cab53c76bf8110f22e2a926ef27fe9
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\004-inventory_open_assets_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=9bb93fcff4d97bad539a0b652d0b70bc69d8ffffd28712a3818dc4ccfc645824
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\005-inventory_scan_incomplete.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=9bb93fcff4d97bad539a0b652d0b70bc69d8ffffd28712a3818dc4ccfc645824
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\006-adaptive_preflight_inventory_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=81e987ae999c89b0c788b8b159ab1c7d9a129d9775abc7735235996351aac3f1
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-211419-391004-cycle\007-final_cycle_result.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=2f678eac8dc644ffabef5021aa2a68fb4c9ded9a5c3cd2239b40a05083dfe1f6
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\000-inventory_scan_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=2f7c8bcbea09e8133eaed7b4460212c6a868022ac1d80c3b2764702cac82ccf8
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\001-inventory_go_home_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=cde2d6bbef47f2d2c64f3e11b993f6d7bec764984f8c8508979861a1d9a4ceb1
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\002-inventory_go_home_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=eaaab6e4c3410fbb123dbe39de66577430367e10bfa27c72a70728c8dc05acab
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\003-inventory_open_assets_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=c247483c4436d4a6bef2a4c5341c488d9509c6d16b24ebf9b1e058d0542b0620
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\004-inventory_open_assets_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=49a04e234dab264e9fdcd755aa6cf74230db3d0d5613657ee3cc8ad26f1e417c
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\005-inventory_page_scanned.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=1f739d50f3b31fd407616cfb0e8a3b51bfdb964c4c480fdd80bbd5fc5d84a411
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\006-inventory_complete_confirmed.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e8ffda7109d4add9b6aa1a84ea34a4270c3598052f0e6bda29ef9de012d12672
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\007-adaptive_preflight_inventory_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=997864a74faa69557d967ff2262a1d9f22e97394490a32d8b9a4681afc72d80b
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\008-adaptive_preflight_buy_page_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=6b7526bfdfb077334a01789561215e7fafe52fbdf4106a8247d284241d20b1e0
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\009-adaptive_preflight_buy_page_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=01de5479da6e41c57085486f7b6a3d188f3f5f082430460e84a542b0922f432f
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-215723-878888-cycle\010-final_cycle_result.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=5a0a0885bfbd76a4e20e1975193560b0fc3f712c3b78a45cb48f1e3287563525
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\000-inventory_scan_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=456fe0e03345c2e27630c533354f4a02ab45c063dee8808e68a5be80a1a76033
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\001-inventory_go_home_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=14295dfc80d0d7c0fe3f987d56048a548035f8c16c014e3b12c1d8cc21aa7f81
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\002-inventory_go_home_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=868b18013c4867bfbabcb22a1f370ebb534f834b014337cfa74839526bb6b57e
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\003-inventory_open_assets_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=34d0a982ddeedacc5e76318b929791239f70e04a0f45d04b4c463d901ed80990
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\004-inventory_open_assets_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e6a21b4bc7eb2f442e96ab00174cdc9a524f2c366921ab7c9c09937cf19bca0c
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\005-inventory_page_scanned.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=2b31ddb36e218e07ac6ff23f180ae21ddc9810f128c2431df6d87fcd7a37368b
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\006-inventory_complete_confirmed.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=34b4c3b72f4e53a25ddf7e62dcf3d575f8b7b333c0a538b0dcdda28c56e7ca14
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\007-adaptive_preflight_inventory_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=8d3b0b91e42cfd4d69a752151c627b8286feacd07a131a24ad48ec986263ce38
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\008-adaptive_preflight_buy_page_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=97110e7f0e94dcb222053a373539b34b721d1f1e1b17cd5997290d48698c1e69
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\009-exchange_home_verify.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=12bbe12bed12393af6ff6bb857754f8ae98e54d3d77d76d7a0a5771d84969660
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\010-exchange_anchor_search.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e6955c8899fc806404ec68f6294417e45f238cc0fc091aab40da4b421f5f0a62
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\011-exchange_menu_observe.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=73cd08a78e26b5e7c7e670e5d73a176c051f2149ea5e3e305da1e86f584c3480
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\012-adaptive_preflight_buy_page_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=d36038aa49910ef66d6df7b997cc66d12aeff7ce896fcd47b76b4dc20931d798
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-224210-427529-cycle\013-final_cycle_result.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=20ce3a7bc8fda8ab67bb4a102e654acaa020bb94dcb9360e01608bdfbeff5f9d
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\000-inventory_scan_start.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=556c2a4bbc42d59b4f72d648990e9db53d1f4ec7e92343972b3d55de32d4edbc
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\001-inventory_go_home_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e673395640f8243562ce5e35371a0de8d03500532eac3c660efb1f1370675f59
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\002-inventory_go_home_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=cc9e6b13034b6c10a3b9f176696999da9ce84da9b5bcc934fc0f3df4013dd203
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\003-inventory_open_assets_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e195cc246fb6f672659c00d730af86d67d06464d40ec1c17d57384c88ba37980
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\004-inventory_open_assets_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=3d9e0e5aa723b588e2ea05cb4320551304bfcccdae6d0702ada128438bea5c53
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\005-inventory_page_scanned.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=e4756983133993b99aeb64aa5bed83f346b938ec7bbda194d7b64b9cda26b567
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\006-inventory_complete_confirmed.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=68c5075e2bb10e5a9580bedc531ce7a2f1197eb324044d32ecd4b8ccac095be2
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\007-adaptive_preflight_inventory_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=4c86f207278e44ea04237dfa4e183477de1b5d3cc38da13ce36a748e6f818228
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\008-adaptive_preflight_buy_page_before.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=61ba5c80f99ba2386503794a9ac672285bbb67d0289141b48e4e06523f2f6cb4
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\009-exchange_home_verify.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=4200a1174cd75cc1e8c474cf214deee8aa7f640b9f1e84962f042fcb1d946998
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\010-exchange_anchor_search.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=b9d771bbe986a58741e1e6c9e251a2492ba73060f20f69359c32190602711178
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\011-adaptive_preflight_buy_page_after.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=ee53bc411637d7a5202b13c0c6c2c36e2c0838cf4397868772084a0aa3a58407
C:\tmp\HeiYue-AutoResonance-gui-launcher-portable-v1-20260807\logs\run_business\20260811-233408-724581-cycle\012-final_cycle_result.png	original=1280x720	viewport=full_1280x720;resize=none	sha256=889cfa063bc633f3cb2f47b5ea4352306abb686f2eb53bd6f4f4e5d0315863c6
